DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020630,Sodium fluoride,7681-49-4,PUZPDOWCWNUUKD-UHFFFAOYSA-M,Sodium fluoride,[F-].[Na+],InChI=1S/FH.Na/h1H;/q;+1/p-1,FNa,41.98817244,41.988172,152,6385,144,416,1,0/56,0.0,56
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3032626,Methiocarb,2032-65-7,YFBPRJGDJKVWAH-UHFFFAOYSA-N,"3,5-Dimethyl-4-(methylsulfanyl)phenyl methylcarbamate",CNC(=O)OC1=CC(C)=C(SC)C(C)=C1,"InChI=1S/C11H15NO2S/c1-7-5-9(14-11(13)12-3)6-8(2)10(7)15-4/h5-6H,1-4H3,(H,12,13)",C11H15NO2S,225.31,225.082350,157,65,73,1,2,96/519,18.0,519
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021836,"1,4-Dinitrobenzene",100-25-4,FYFDQJRXFWGIBS-UHFFFAOYSA-N,"1,4-Dinitrobenzene",[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O,InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,C6H4N2O4,168.108,168.017107,117,18,112,,2,102/497,21.0,497
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00858725,Trichlorophenol,25167-82-2,,,"OC1=CC=CC=C1.Cl*.Cl*.Cl* |c:3,5,t:1,lp:0:2,7:3,9:3,11:3,m:8:5.6,10:4.5,12:2.3.4|",,C6H3Cl3O,197.44,195.924948,39,267,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7024166,"2,5-Furandione",108-31-6,FPYJFEHAWHCUMM-UHFFFAOYSA-N,"Furan-2,5-dione",O=C1OC(=O)C=C1,InChI=1S/C4H2O3/c5-3-1-2-4(6)7-3/h1-2H,C4H2O3,98.057,98.000394,170,651,172,19,1,1/410,0.0,410
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5024394,Acetic acid,64-19-7,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Acetic acid,CC(O)=O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",C2H4O2,60.052,60.021129,272,8651,7047,2539,1,19/841,2.0,841
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1034343,Arsenic(V) pentoxide,1303-28-2,COHDHYZHOPQOFD-UHFFFAOYSA-N,"3-Oxo-1lambda~5~,3lambda~5~-diarsoxane-1,1,3-trione",O=[As](=O)O[As](=O)=O,InChI=1S/As2O5/c3-1(4)7-2(5)6,As2O5,229.838,229.817763,80,9,42,26,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5039224,Acetaldehyde,75-07-0,IKHGUXGNUITLKF-UHFFFAOYSA-N,Acetaldehyde,CC=O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",C2H4O,44.053,44.026215,242,5568,445,205,2,143/400,36.0,400
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40999065,Beryllium nitrate--water (1/2/3),7787-55-5,MOVLWNALUAGFEF-UHFFFAOYSA-N,Beryllium nitrate--water (1/2/3),[Be++].O.O.O.[O-]N(=O)=O.[O-]N(=O)=O,InChI=1S/Be.2NO3.3H2O/c;2*2-1(3)4;;;/h;;;3*1H2/q+2;2*-1;;;,BeH6N2O9,187.065,187.019513,15,,13,3,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5060140,Acetyl bromide,506-96-7,FXXACINHVKSMDR-UHFFFAOYSA-N,Acetyl bromide,CC(Br)=O,InChI=1S/C2H3BrO/c1-2(3)4/h1H3,C2H3BrO,122.949,121.936728,65,15,83,,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4025791,2-Nitrotoluene,88-72-2,PLAZTCDQAHEYBI-UHFFFAOYSA-N,1-Methyl-2-nitrobenzene,CC1=CC=CC=C1[N+]([O-])=O,"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",C7H7NO2,137.138,137.047678,173,55,137,3,2,7/836,1.0,836
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020528,"2,6-Dinitrotoluene",606-20-2,XTRDKALNCIHHNI-UHFFFAOYSA-N,"2-Methyl-1,3-dinitrobenzene",CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O,"InChI=1S/C7H6N2O4/c1-5-6(8(10)11)3-2-4-7(5)9(12)13/h2-4H,1H3",C7H6N2O4,182.135,182.032757,176,123,135,18,2,18/887,2.0,887
